,Mission Area,Office/Division/National Program,Program,Program Category,URL,Domain,Description,Notes,Program Types,Cost/Budget,KPI,Inactive?,Broken Link on portal,Not a program?,Reviewed By
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Management & Analysis Program,Internal Programs,https://www.ams.usda.gov/about-ams/programs-offices/management-analysis,ams.usda.gov,The Management and Analysis Program (MAP) is an internal Agency program that provides a wide range of professional services to AMS to help carry out its mission. MAP services include: analysis and information that supports decision-making; administrative management; employee safety and stewardship of facilities and resources; homeland security; compliance and investigations; budget and performance monitoring; financial management procedures and monitoring; management tools and reform initiatives that support mission achievement; and process improvement activities.,,Internal,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Biotechnology,Research Programs,https://www.gipsa.usda.gov/fgis/biotechnology.aspx,gipsa.usda.gov,"In 2001 GIPSA established a Biotechnology laboratory at the Technology and Science Division in Kansas City, Missouri. The Biotechnology group contributes to the agency’s mission by responding to genetically modified (GM) grain products that are inadvertently released into the marketplace, validating Polymerase Chain Reaction (PCR) methods for accurate detection and quantification of specific GM traits, administering the USDA-GIPSA Proficiency Program, and developing research projects that help promote international harmonization of biotech testing methods.",,Research,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Equipment,Regulatory Programs,https://www.gipsa.usda.gov/fgis/equipment.aspx,gipsa.usda.gov,"The United States Grain Standards Act states in part that: ""The Administrator shall provide for the testing of all equipment used in the sampling, grading, inspection and weighing for the purpose of official inspection, official weighing, or supervision of weighing of grain...to be made on a random and periodic basis, but at least annually...as he deems necessary to assure the accuracy and integrity of such equipment.""",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,International Service Program,Regulatory Programs,https://www.gipsa.usda.gov/fgis/gradingprocedures.aspx,gipsa.usda.gov,"GIPSA personnel participate in a variety of international assistance programs at the request of U.S. exporters, international importers and end users of U.S. grains and oilseeds, as well as other USDA agencies, USDA Cooperator organizations, and other governments. GIPSA international services include:

    Resolving grain quality and weight discrepancies by working with international governments and grain industry representatives. Helping other countries develop domestic grain and commodity standards and marketing infrastructures. Training international inspectors in U.S. inspection methods and procedures. Aiding importers in developing quality specifications. Presenting grain marketing and grain grading seminars around the world. Conducting collaborative studies and surveys to collect market information. Providing consulting services on technical issues. ",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Inspection & Weighing Services,Regulatory Programs,https://www.gipsa.usda.gov/fgis/inspectionweighing.aspx,gipsa.usda.gov,"GIPSA's Federal Grain Inspection Service provides a variety of inspection, weighing, and related services on grains, pulses, oilseeds, and processed and graded commodities. Our programs and services facilitate the marketing of America's grain in domestic and international markets.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Proficiency Program,Research Programs,https://www.gipsa.usda.gov/fgis/proficiencyprogram.aspx,gipsa.usda.gov,"The emergence of value-enhanced grains and oilseeds, development of niche markets for non-biotech commodities and the establishment of new regulatory requirements by U.S. trading partners has created a greater need for product differentiation in the marketplace. To this end, market participants are relying, in part, on product testing to obtain accurate information about products in the marketing chain and to comply with the new market demands. The efficiency of the marketing system will, therefore, depend on the availability of accurate and reliable testing.

To help meet the market’s need for reliable testing, GIPSA offers a Proficiency Program for testing of biotechnology-derived grains and oilseeds. The purpose of this program whose is to help those organizations testing for biotechnology-derived grains and oilseeds improve their testing capability and reliability. Through this program, GIPSA is improving the overall performance of testing for biotechnology-derived grains and oilseeds.",,Research,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Pesticides Residues,Regulatory Programs,https://www.gipsa.usda.gov/fgis/PesticidesResidues.aspx,gipsa.usda.gov,"Plant protection products (more commonly known as pesticides) are widely used in agriculture to increase the yield, improve the quality, and extend the storage life of food crops. Pesticides must undergo extensive efficacy, environmental, and toxicological testing to be registered by governments for legal use in specified applications. The applied chemicals and/or their degradation products may remain as residues in the agricultural products, which becomes a concern for consumer exposure. Therefore, in order to ensure stringent food safety standards, maximum residue levels (MRLs) (or ‘tolerances’ in the U.S.), that limit the types and amounts of residues that can be legally present on foods, are set by regulatory bodies worldwide (see below).",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Official Service Providers,Regulatory Programs,https://www.gipsa.usda.gov/fgis/serviceprovider.aspx,gipsa.usda.gov,"The official grain inspection and weighing system is a unique partnership comprised of Federal, State, and private partners serving customers across the Nation. Our State and private partners are authorized by GIPSA to provide official inspection and weighing services to the domestic and export grain trade on our behalf.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Test Kit Evaluation,Regulatory Programs,https://www.gipsa.usda.gov/fgis/rapidtestkit.aspx,gipsa.usda.gov,"Since the early 1990’s GIPSA has responded to the need for fast, reliable testing for mycotoxins in grains and oilseeds. Since the program’s inception the needs of the industry have changed and the expansion of testing to include additional mycotoxins as well as biotechnology-derived traits in grains and oilseeds was warranted. Currently the program certifies rapid test kits for the quantitative determination of aflatoxin, deoxynivalenol, fumonisin, ochratoxin, zearalenone, and qualitative determination of numerous biotechnology derived traits.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Quality Assurance Program,Regulatory Programs,https://www.gipsa.usda.gov/fgis/qualityassurance.aspx,gipsa.usda.gov,"The Federal Grain Inspection Service's (FGIS) quality control program involves correlating front-line inspectors to our standard references located at the FGIS Technology and Science Division's Board Of Appeals and Review (BAR) in Kansas City, Missouri.

A network of field offices perform training and supervision of front line inspectors in their area to ensure all types of inspection results correlate with the BAR's standard reference. For example, interpretative line slides approved by the BAR are used by all inspectors to ensure that they are interpreting visual characteristics found in a sample in the same way.

FGIS is upgrading its ability to analyze quality control data to ensure consistent results nationwide by providing each field office state-of-the-art computers and a specially designed software program. Field offices will be able to modify the program to meet the needs of the local marketplace, and analyze data in various ways to ensure accurate inspections are being performed.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Grading Procedures,Regulatory Programs,https://www.gipsa.usda.gov/fgis/gradingprocedures.aspx,gipsa.usda.gov,"Official inspections of grains, oilseeds, and other agricultural and processed commodities are based on established official U.S. standards, Inspection services are divided into two basic types: ""inspection for grade"" or ""factor analysis"" without grade. Inspection for grade involves analyzing the sample according to the quality factors listed in the Official U.S. Standards for Grain and certifying the applicable numeric grade designation, the quality factors responsible for the grade assignment, and any other quality factors the customer requests.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Moisture Measurement,Regulatory Programs,https://www.gipsa.usda.gov/fgis/moisture.aspx,gipsa.usda.gov,"The Grain Inspection, Packers and Stockyards Administration (GIPSA), Federal Grain Inspection Service (FGIS) uses the Unified Grain Moisture Algorithm (UGMA) to achieve its primary objective under the U.S. Grain Standards Act to 'certify the quality of grain as accurately as practical' as well as provide accurate information on storability, economic value and product yield. (7 U.S.C. Sec. 74(b)(2) and (b)(3)(B), (C), and (E)). Moisture meters are used to determine the amount of moisture within grain presented for sale, a critical assessment of quality that affects the value and storability of the grain.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Mycotoxins,Regulatory Programs,https://www.gipsa.usda.gov/fgis/mycotoxins.aspx,gipsa.usda.gov,"Mycotoxins are metabolites (by-products) of the growth of molds. They have very real toxic side effects to other plants, animals, and humans. They are generally less selective of the hosts they attack and can cross plant species. The most frequently found mycotoxins in grain are aflatoxin, deoxynivalenol (DON), zearalenone (ZEN), and fumonisin.

FGIS has implemented a program to verify the performance of rapid tests for mycotoxins in grains. ",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),GIPSA,Packers and Stockyards Program,Regulatory Programs,https://www.gipsa.usda.gov/psp/psp.aspx,gipsa.usda.gov,"The Agency's Packers and Stockyards Program (P&SP) promotes fair business practices and competitive environments to market livestock, meat, and poultry. Through its oversight activities under the Packers and Stockyards (P&S) Act, including monitoring programs, reviews, and investigations, P&SP fosters fair competition, and provides payment protection. It also guards against deceptive and fraudulent trade practices that affect the movement and price of meat animals and their products. P&SP's work protects consumers and members of the livestock, meat, and poultry industries.P&SP's major enforcement areas are payment protection, unfair, deceptive, and fraudulent practices, and competition.",,Regulatory,"$23,000,000",,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics","Nutrition, Food Safety/Quality ",Human Nutrition,Research Programs,https://www.ars.usda.gov/nutrition-food-safetyquality/human-nutrition/,ars.usda.gov,The mission of the Human Nutrition Program is to define the role of food and its components in optimizing health throughout the life cycle for all Americans by conducting high national priority research.,,Research,"$45,000,000",,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics","Nutrition, Food Safety/Quality ",Food Safety (animal and plant products),Research Programs,https://www.ars.usda.gov/nutrition-food-safetyquality/food-safety-animal-and-plant-products/,ars.usda.gov,"To provide through research, the means to ensure that the food supply is safe for consumers; and that food and feed meet foreign and domestic regulatory requirements. Food safety research seeks ways to assess, control or eliminate potentially harmful food contaminants, including both introduced and naturally occurring pathogenic bacteria, viruses and parasites, toxins and non-biological-based chemical contaminants, mycotoxins and plant toxins. Food safety is a global issue; thus, the research program involves both national and international collaborations through formal and informal partnerships. Accomplishments and outcomes are utilized in national and international strategies delivering research results and advances to regulatory agencies, commodity organizations, industry and consumers.",,Research,"$102,000,000",,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics","Nutrition, Food Safety/Quality ",Product Quality and New Uses,Research Programs,https://www.ars.usda.gov/nutrition-food-safetyquality/product-quality-and-new-uses/,ars.usda.gov,"Enhance the marketability of agricultural products, increase the availability of healthful foods, develop value-added food and nonfood products, and enable commercially-preferred technologies for post-harvest processing.",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Animal Production and Protection ,Food Animal Production,Research Programs,https://www.ars.usda.gov/animal-production-and-protection/food-animal-production/,ars.usda.gov,"The vision for NP 101 is to furnish the scientific community and the food animal industries with scientific information, biotechnologies, and best management practices that (1) ensure that consumers have an abundant supply of competitively priced animal products that enhance human health, (2) ensure domestic food security, and (3) enhance the efficiency, competitiveness, and economic and environmental sustainability of the food animal industries.",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Animal Production and Protection ,Animal Health,Research Programs,https://www.ars.usda.gov/animal-production-and-protection/animal-health/,ars.usda.gov,"The mission of the program is to deliver scientific information and tools to detect, control, and eradicate animal diseases of high national priority.",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Animal Production and Protection ,"Veterinary, Medical, and Urban Entomology",Research Programs,https://www.ars.usda.gov/animal-production-and-protection/veterinary-medical-and-urban-entomology/,ars.usda.gov,"The mission of the Veterinary, Medical, and Urban Entomology Program is to solve scientific problems and develop new products to protect American livestock, poultry, military personnel, civilians, structures, and households from damage caused by arthropods.",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Animal Production and Protection ,Aquaculture,Research Programs,https://www.ars.usda.gov/animal-production-and-protection/aquaculture/,ars.usda.gov,"The mission of the Aquaculture National Program is to conduct high quality, relevant, fundamental, and applied aquaculture research, to improve the systems for raising domesticated aquaculture species, and to transfer technology to enhance the productivity and efficiency of U.S. producers and the quality of seafood and other aquatic animal products.",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Crop Production and Protection ,"Plant Genetic Resources, Genomics, and Genetic Improvement",Research Programs,https://www.ars.usda.gov/crop-production-and-protection/plant-genetic-resources-genomics-and-genetic-improvement/,ars.usda.gov,"To safeguard and utilize plant genetic resources (genetic raw material), associated genetic and genomic databases, and bioinformatic tools to ensure an abundant, safe, and inexpensive supply of food, feed, fiber, ornamentals, and industrial products for the United States and other nations.",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Crop Production and Protection ,Plant Diseases,Research Programs,https://www.ars.usda.gov/crop-production-and-protection/plant-diseases/,ars.usda.gov,Develop control strategies to reduce losses caused by plant diseases that are effective and affordable while maintaining environmental quality,,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Crop Production and Protection ,Crop Protection and Quarantine,Research Programs,https://www.ars.usda.gov/crop-production-and-protection/crop-protection-and-quarantine/,ars.usda.gov,"To provide technology to manage pest populations below economic damage thresholds by the integration of environmentally compatible strategies that are based on increased understanding of the biology and ecology of insect, mite, and weed pests.",,Research,"$167,000,000",,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Crop Production and Protection ,Crop Production,Research Programs,https://www.ars.usda.gov/crop-production-and-protection/crop-production/,ars.usda.gov,"Develop and transfer sound, science-based information and technologies for productive and profitable food, fiber, and floral/ornamental crop production systems that meet consumer demands for high quality, affordable products, grower needs for a stable income and competitiveness in the global marketplace, worker needs for a safe working environment, and the public's desire for maintaining or improving environmental quality.",,Research,"$210,000,000",,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Natural Resources and Sustainable Agricultural Systems ,Water Availability and Watershed Management,Research Programs,https://www.ars.usda.gov/natural-resources-and-sustainable-agricultural-systems/water-availability-and-watershed-management/,ars.usda.gov,"The mission of this National Program is twofold: (1) to conduct fundamental and applied research on the processes that control water availability and quality for the health and economic growth of the American people; and (2) to develop new and improved technologies for managing the Nation's agricultural water resources. These advances in knowledge and technologies will provide producers, action agencies, local communities, and resource advisors with the practices, tools, models, and decision support systems they need to improve water conservation and water use efficiency in agriculture, enhance water quality, protect rural and urban communities from the ravages of droughts and floods, improve agricultural and urban watersheds, and prevent the degradation of riparian areas, wetlands, and stream corridors. The rationale for this program is that water is fundamental to life and is a basic requirement for virtually all of our agricultural, industrial, urban, and recreational activities, as well as the sustained health of the natural environment. ",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Natural Resources and Sustainable Agricultural Systems ,Soil and Air,Research Programs,https://www.ars.usda.gov/natural-resources-and-sustainable-agricultural-systems/soil-and-air/,ars.usda.gov,"In planning and conducting Soil and Air research, ARS will focus our efforts on several specific priorities:
Enable improvements of air quality via management and mitigation of emissions from agricultural operations
Develop knowledge and technologies for reducing atmospheric greenhouse gas concentrations through management of agricultural emissions and carbon sequestration
Enable agriculture to adapt to climate change
Maintain and enhance soil resources",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Natural Resources and Sustainable Agricultural Systems ,Biorefining,Research Programs,https://www.ars.usda.gov/natural-resources-and-sustainable-agricultural-systems/biorefining/,ars.usda.gov,"The ARS Biorefining Program enables new commercially-viable technologies to
 
(1) convert materials and byproducts from agriculture and for food production into fuels and other marketable products, and
(2) reduce risks and increase profitability in existing industrial biorefineries. ",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Natural Resources and Sustainable Agricultural Systems ,"Grass, Forage, and Rangeland Agroecosystems",Research Programs,https://www.ars.usda.gov/natural-resources-and-sustainable-agricultural-systems/grass-forage-and-rangeland-agroecosystems/,ars.usda.gov,"This program develops and integrates improved management practices, germplasm, and land-use strategies to optimize economic viability and environmental enhancement in managing vegetation, livestock and natural resources on private and public lands. Research activities include: enhancing conservation and restoration of ecosystems and agroecosystems through improvements based on the application of ecological principles; improving management of fire, invasive weeds, grazing, global change and other agents of ecological change; developing grazing-based livestock systems that reduce risk and increase profitability in existing and emerging markets; developing improved grass and forage legume germplasm for livestock, conservation, turf and bioenergy and bioproduct systems; and improving decision-support systems including improving inventory, monitoring, and assessment tools.",,Research,,,,,,Erik Bethke
Agricultural Research Service (ARS),"Research, Education and Economics",Natural Resources and Sustainable Agricultural Systems ,Sustainable Agricultural Systems Research,Research Programs,https://www.ars.usda.gov/natural-resources-and-sustainable-agricultural-systems/sustainable-agricultural-systems-research/,ars.usda.gov,"This interdisciplinary research integrates information and technologies to develop new practices and dynamic systems that optimally enhance productivity, profitability, energy efficiency, and natural resource stewardship for different kinds and sizes of American farms. New configurations of practices are identified that utilize on-farm resources and natural ecosystem processes to reduce the need for purchased inputs and reduce production costs and risks. Precision management, automation, and decision support technologies are used to increase production efficiencies and enhance environmental benefits. Strategies are developed for sustainable production of bio-based energy products from farms. Production systems incorporate consumer preference and supply chain economic information to expand market opportunities for agricultural and other value-added bio-based products. Diverse improved agricultural systems will support the long-term financial viability, competitiveness, and sustainability of farms and rural communities, and increase food and fiber security for the USA and the world. ",,Research,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Animal Care (AC),Animal Care Emergency Programs,Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/animalwelfare/sa_ep/ct_ep_information,aphis.usda.gov,Animal Care Emergency Programs envisions a nation working together to protect the public through ensuring the safety and well-being of animals during disasters. Supporting animal safety and well-being during disasters is a significant factor in ensuring the safety and well-being of people.,,Emphasis Area,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Biotechnology Regulatory Services (BRS) ,Biotechnology Quality Management Support Program (BQMS),Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/biotechnology/bqms/bqms_new,aphis.usda.gov," The United States Department of Agriculture (USDA), Animal and Plant Health Inspection Service (APHIS), Biotechnology Regulatory Services (BRS) welcomes you to the Biotechnology Quality Management Support Program (BQMS) webpage.  This voluntary Program is flexible, customizable, and cost-efficient.  The BQMS Program is designed to help organizations of any size (universities, small businesses, and large organizations) develop sound quality management practices to enhance their ability to comply with the APHIS regulations governing certain genetically engineered (GE) organisms found at 7 CFR part 340.

The BQMS Program is a modular system which allows each unique user the option of selecting from a list of web-based compliance assistance tools referred to as modules.  These modules are designed in a user-friendly question and answer format to help in creating a documented self-certifying quality management system to manage critical control points consistent with the requirements at 7 CFR part 340.  ",,Emphasis Area,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Plant Protection and Quarantine (PPQ),Plant Pest and Disease Programs,Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases,aphis.usda.gov,"Plant Protection and Quarantine (PPQ) safeguards agriculture and natural resources from the risks associated with the entry, establishment, or spread of animal and plant pests and noxious weeds to ensure an abundant, high-quality, and varied food supply.",,Emphasis Area,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Plant Protection and Quarantine (PPQ),The Federally Recognized State Managed Phytosanitary Program ,Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/frsmp,aphis.usda.gov,"APHIS established the Federally Recognized State Managed Phytosanitary (FRSMP, pronounced “free-stamp”) program to promote greater consistency in actions taken against certain plant pests, whether those pests arrive at U.S. ports of entry or are moving interstate. By better harmonizing import and interstate requirements, APHIS strengthens its ability to advocate for safe, fair and reciprocal treatment of U.S. exports by our trading partners.",,Emphasis Area,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Plant Protection and Quarantine (PPQ),Integrated Plant Health Information System ,Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/pest-detection/sa_iphis,aphis.usda.gov,"The USDA, Animal and Plant Health Inspection Service’s (APHIS) Integrated Plant Health Information System (IPHIS) is a Web-based application that provides a single, standardized, and comprehensive data management system capable of supporting activities associated with domestic or emergency pest programs. The system provides an environment and processes for gathering quality information from all core functions of APHIS’ Plant Protection and Quarantine (PPQ) (survey, regulatory, diagnostics, and control) in a timely or “real-time” manner to make information available to key regulatory partners and stakeholders.",,Emphasis Area,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Plant Protection and Quarantine (PPQ),Survey Supply and Procurement Program,Procurement Programs,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/sa_sspp,aphis.usda.gov,"There is continual progress being made in the development of survey supplies. To make certain that we are sourcing the most effective survey supplies, we want to improve product descriptions prior to purchasing. Specifically, we are seeking suggestions to improve the construction or specifications of the products described in documents below. We are not seeking to purchase these products at this time. Providing feedback does constitute an advantage in future solicitations.",,Procurement,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Plant Protection and Quarantine (PPQ),Pest Detection Program,Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/pest-detection,aphis.usda.gov,"The Pest Detection program supports APHIS’ goal of safeguarding U.S. agricultural and environmental resources by ensuring that new introductions of harmful plant pests and diseases are detected as soon as possible, before they have a chance to cause significant damage. A strong domestic agricultural pest detection system is an essential element in providing a continuum of checks from offshore preclearance programs, domestic port inspections, and surveys in rural and urban sites across the United States. The program uses a multi-pronged strategy to accomplish its mission, involving:",,Emphasis Area,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Plant Protection and Quarantine (PPQ),Biological Control Program,Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/biological-control-program,aphis.usda.gov,"Biological control (biocontrol) involves the reduction of pest populations through the use of natural enemies such as parasitoids, predators, pathogens, antagonists, or competitors to suppress pest populations. Biological control is a practical option for suppressing pest populations because:

    it is easy and safe to use
    it is a very cost effective and environmentally sound method of pest control, especially compared to the broad-spectrum pesticides often used
    it reduces the use of conventional pesticides
    it can be implemented as part of an Integrated Pest Management (IPM) program
    once established, populations are self-sustaining, and
    it is target specific ",,Emphasis Area,,,,,,Erik Bethke
Animal and Plant Health Inspection Service (APHIS),Marketing and Regulatory Programs,Veterinary Services (VS),"National Veterinary Accreditation Program
",Emphasis Area Programs,https://www.aphis.usda.gov/aphis/ourfocus/animalhealth/nvap,aphis.usda.gov,The mission of the National Veterinary Accreditation Program is to provide accredited veterinarians with the information they need to ensure the health of the Nations’ livestock and animal population and to protect the public health and well-being.,,Emphasis Area,,,,,,Erik Bethke
